STCOUNTYFP,RISK_SCORE,EAL_SCORE,ERQK_RISKS,RFLD_RISKS,CFLD_RISKS,HRCN_RISKS,TRND_RISKS,WFIR_RISKS,WNTW_RISKS,HWAV_RISKS,DRGT_RISKS,HAIL_RISKS,SWND_RISKS,RFLD_EALS,ERQK_EALS,CFLD_EALS,HRCN_EALS,TRND_EALS,WFIR_EALS,WNTW_EALS,HWAV_EALS,DRGT_EALS,HAIL_EALS,SWND_EALS
30083,20.83996181991728,25.193438563912103,6.617881005408845,43.33439389118677,,,30.38498250079542,46.770601336302896,49.60229080496341,72.31944002545339,41.26630607699649,51.32039452752147,40.37543748011454,46.14670380687094,7.056638811513463,,,35.111662531017366,47.725103404390715,54.68895078922934,74.86846177653977,44.075682382134,56.017369727047154,47.33250620347395
30085,48.17053770283169,35.37604456824512,9.09958638243716,67.80146356983774,,,28.03054406617881,56.88832325803372,63.41075405663379,68.97868278714604,45.75246579700922,37.639198218262806,77.28285077951001,59.857629216960696,6.809037449705974,,,26.302729528535977,51.76582882596246,56.85546270504488,64.99535747446609,43.05210918114144,33.65384615384615,69.32382133995037
30087,6.999681832643971,6.83998761993191,9.54502068087814,8.876869233216672,,,7.66783328030544,79.98727330575883,63.60165447025136,59.17912822144448,38.211899459115486,16.512885777919188,14.158447343302576,9.501702259362428,8.758898173939956,,,9.429280397022332,79.16003818008272,61.96224079232435,60.78613432373879,39.23697270471464,17.897022332506204,16.377171215880892
30089,17.403754374801146,16.3107397090684,67.26057906458797,35.38020999045498,,,3.818008272351257,85.20521794463886,79.31912185809736,39.26185173401209,26.98059179128221,6.936048361438115,8.176901049952274,35.12844320643764,64.74775611265862,,,4.714640198511166,84.8552338530067,78.3967811822965,40.79232435778397,27.20223325062035,8.653846153846153,10.452853598014888
30091,8.145084314349347,10.275456515010832,7.413299395482023,26.7260579064588,,,13.935730194082089,34.998409163219854,70.79223671651289,39.54820235443843,42.41170855870188,10.594972955774736,15.526566974228444,30.981120396162176,7.768492726709997,,,17.307692307692307,36.27107858733695,73.81615598885793,42.92788610337357,44.85111662531017,14.05086848635236,19.416873449131515
30093,54.78841870824054,54.874651810584965,86.35062042634425,15.494750238625516,,,11.32675787464206,76.32834871142221,99.17276487432389,0.0,17.69010499522749,8.749602290804964,6.904231625835189,17.765397709687402,84.52491488703187,,,13.554590570719602,78.3009863188037,99.25719591457752,0.0,19.94416873449132,11.352357320099255,9.646401985111662
30095,15.272033089405026,19.715258433921388,26.598790964047087,45.84791600381801,,,7.795100222717149,84.82341711740375,53.07031498568247,74.16481069042317,43.46166083359847,44.288895959274576,9.672287623289852,50.8201795109873,28.102754565150107,,,10.638957816377172,85.90518612790326,58.898173939956656,76.9421231816775,46.215880893300245,49.65880893300248,13.740694789081886
30097,11.358574610244988,13.834726090993502,27.330575882914417,49.72955774737512,,,4.486159720012727,85.3643016226535,39.961819917276486,40.50270442252625,27.266942411708563,28.921412663060767,4.613426662424435,53.079541937480656,28.536056948313217,,,6.451612903225806,86.09608654152083,45.4348498916744,44.72299597647786,29.71464019851117,34.398263027295286,7.754342431761787
30099,6.55424753420299,7.335190343546889,48.67960547247852,26.471524021635375,,,5.440661788100541,73.97391027680558,67.80146356983774,0.0,52.87941457206491,10.181355392936684,15.399300031816734,27.51470133085732,49.98452491488703,,,7.847394540942928,74.35571110404072,69.54503249767873,0.0,55.33498759305211,13.616625310173696,18.951612903225808
30101,4.390709513203945,4.333023831631074,29.430480432707608,11.358574610244988,,,3.881641743557111,45.94336621062679,35.03022589882278,0.0,54.438434616608326,2.068087814190264,9.35412026726058,11.761064685855771,28.90745899102445,,,4.745657568238213,43.77982818962774,36.70690188796039,0.0,54.8697270471464,3.970223325062035,11.786600496277917
